P_CODE,NRM_REGION,REEF,DEPTH,VISIT_NO,Date,subregion,A,AB,HC,SC,CoralCover,MA,Acr,DISTURBANCE,juv5.d.nf
IN,Burdekin,Havannah,2,1,23/08/2005,Burdekin,76.1875,7.1875,12.5625,1.6875,14.25,34.4375,5.5,,1.742356368
IN,Burdekin,Havannah,2,2,24/08/2006,Burdekin,75.26836535,5.378159303,15.66553343,2.69065442,18.35618785,37.48922716,8.706190446,n,1.338985387
IN,Burdekin,Havannah,2,3,3/07/2007,Burdekin,70.34890638,7.821540881,16.94900453,3.504353944,20.45335847,38.02097604,10.31764011,n,1.254329755
IN,Burdekin,Havannah,2,5,19/06/2009,Burdekin,68,8,19.1875,2.875,22.0625,1.875,9.6875,n,1.869635458
IN,Burdekin,Havannah,2,7,17/08/2011,Burdekin,63.875,15.8125,15.1875,3.375,18.5625,0.6875,7.75,s,2.452296219
IN,Burdekin,Havannah,2,9,24/06/2013,Burdekin,56.8125,9.4375,29,2.875,31.875,5.125,21.8125,n,1.68329209
IN,Burdekin,Havannah,2,11,17/06/2015,Burdekin,36.6875,4.375,53.125,3.6875,56.8125,1.0625,43.8125,n,3.162624699
IN,Burdekin,Havannah,2,12,7/06/2016,Burdekin,37.625,4.6875,52.8125,2.75,55.5625,1.0625,43,d,1.917625512
IN,Burdekin,Havannah,2,13,9/05/2017,Burdekin,55.625,3.6875,36.25,2.5625,38.8125,0.25,29.0625,b,1.237632668
IN,Burdekin,Havannah,5,1,23/08/2005,Burdekin,82.1875,2.125,10.625,4.875,15.5,51.1875,0.4375,,1.047598289
IN,Burdekin,Havannah,5,2,24/08/2006,Burdekin,83.9535137,1.751194268,10.01984938,4.149656492,14.16950587,43.61403127,1.128582803,n,2.565342078
IN,Burdekin,Havannah,5,3,3/07/2007,Burdekin,79.91430818,2.564465409,12.39465409,4.751572327,17.14622642,42.87185535,1.313679245,n,2.188259712
IN,Burdekin,Havannah,5,5,19/06/2009,Burdekin,79.9375,2.3125,13.125,4.5625,17.6875,24.125,0.875,n,3.450185246
